run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
C0_s1,C0,1,none,-1,-1,40,40,0,0,40,40,0,1,341.0,5399.4,135.0,1.706,2233.7,329.9,2046.6,614.0,175.3,558.4,0,3,99.28,0.7045,0.738,0,99.28,0.7044,0.733,0,0,-1,-1,-1,0,0,0,0,0,39.67,0.8865
C1_s1,C1,1,none,-1,-1,40,40,0,0,40,40,0,1,341.1,5426.6,135.7,1.721,2236.2,352.5,2048.4,614.2,175.3,557.2,41,3,99.32,0.7047,0.796,0,99.33,0.7044,0.787,7,6,125.8,-1,-1,0,0,0,0,0,39.63,0.9082
C2_s1,C2,1,immobilised,1,2200,31,31,0,0,31,40,0,0,751.4,8180.8,263.9,3.407,1666.9,282.5,4509.0,1352.7,369.8,414.9,41,3,99.54,0.7036,0.593,0,99.54,0.7037,0.6,7,5,91.0,0,-1,0,0,0,0,0,35.55,0.7406
C5_s1,C5,1,immobilised,1,2200,40,40,0,0,40,40,0,1,410.2,5969.2,149.2,1.823,2209.2,354.5,2462.4,738.5,204.5,550.4,41,3,99.3,0.7058,0.741,0,99.3,0.7058,0.743,7,6,128.3,0,-1,0,0,0,0,0,37.71,0.9237
C3_s1,C3,1,immobilised,1,2200,40,40,0,0,40,40,0,1,410.5,5966.9,149.2,1.826,2207.9,351.2,2464.2,739.1,204.5,550.1,41,3,99.3,0.7063,0.753,0,99.3,0.7063,0.754,7,6,128.3,1,15.0,0,0,0,0,1,37.76,0.9237
C4_s1,C4,1,immobilised,0,2200,13,13,0,0,13,40,0,0,3324.8,9778.7,752.2,9.835,493.5,98.5,6649.8,1994.9,542.0,123.4,0,1,99.56,0.6869,0.608,0,99.56,0.6869,0.607,7,2,77.5,0,-1,0,0,0,0,0,0.0,0.0
C0_s2,C0,2,none,-1,-1,40,40,0,0,40,40,0,1,389.6,6025.3,150.6,1.7,2494.4,296.4,2338.2,701.5,194.8,623.6,0,3,99.29,0.7025,0.79,0,99.12,0.7028,0.964,0,0,-1,-1,-1,0,0,0,0,0,33.94,0.7155
C1_s2,C1,2,none,-1,-1,40,40,0,0,40,40,0,1,423.1,6410.5,160.3,1.792,2580.7,314.0,2539.8,761.8,214.2,645.2,0,3,99.13,0.7184,0.849,0,99.14,0.7187,0.839,7,6,130.8,-1,-1,0,0,0,0,0,33.2,0.7485
C2_s2,C2,2,battery_drain,1,1804,39,39,0,0,39,40,0,0,480.2,6451.7,165.4,1.878,2354.4,273.3,2761.8,828.5,233.6,588.6,0,2,99.25,0.7166,0.7,0,99.23,0.7171,0.695,7,6,133.3,0,-1,0,0,0,0,0,27.76,0.6959
C5_s2,C5,2,battery_drain,1,1804,40,40,0,0,40,40,0,1,543.0,7268.5,181.7,2.026,2771.3,325.9,3014.4,903.9,253.1,692.8,0,2,99.13,0.7117,0.983,0,99.17,0.7134,0.919,7,6,130.8,0,-1,0,0,0,0,0,35.0,0.8037
C3_s2,C3,2,battery_drain,1,1804,40,40,0,0,40,40,0,1,443.1,6728.2,168.2,1.88,2730.1,316.0,2660.4,797.8,223.9,682.5,0,3,99.18,0.7098,0.933,0,99.23,0.7108,0.863,7,6,132.5,1,54.6,0,0,0,0,0,42.9,0.7523
C4_s2,C4,2,battery_drain,0,1804,22,22,0,0,22,40,0,0,420.8,2266.9,103.0,1.076,982.2,118.9,841.8,252.5,71.4,245.6,0,0,99.4,0.6929,1.468,0,99.41,0.6929,1.466,7,4,211.2,0,-1,0,0,0,0,0,0.0,0.0
C0_s3,C0,3,none,-1,-1,40,40,0,0,40,40,0,1,335.0,5368.8,134.2,1.805,2287.3,302.1,2010.6,603.2,165.6,571.8,0,3,99.3,0.7035,0.89,0,99.28,0.7042,0.896,0,0,-1,-1,-1,0,0,0,0,0,41.12,0.8456
C1_s3,C1,3,none,-1,-1,40,40,0,0,40,40,0,1,336.3,5390.5,134.8,1.822,2289.1,310.7,2019.6,605.5,165.6,572.3,0,3,99.28,0.701,0.947,0,99.27,0.7015,0.933,8,5,119.0,-1,-1,0,0,0,0,0,39.03,0.8284
C2_s3,C2,3,sensor_degradation,1,1411,40,40,0,0,40,40,0,1,473.1,6527.6,163.2,2.262,2280.0,321.8,2840.4,851.8,233.6,570.0,0,3,99.32,0.6976,0.963,0,99.31,0.6961,1.011,8,5,120.0,0,-1,0,0,0,0,0,50.14,0.6806
C5_s3,C5,3,sensor_degradation,1,1411,40,40,0,0,40,40,0,1,336.3,5411.4,135.3,1.913,2290.5,330.1,2019.6,605.5,165.6,572.6,0,3,99.45,0.6906,0.837,0,99.45,0.6901,0.829,8,5,120.0,0,-1,0,0,0,0,0,40.44,0.8358
C3_s3,C3,3,sensor_degradation,1,1411,40,40,0,0,40,40,0,1,336.3,5410.9,135.3,1.913,2290.6,329.6,2019.6,605.5,165.6,572.6,0,3,99.44,0.6965,0.748,0,99.45,0.6898,0.832,8,5,120.0,1,28.9,0,0,0,0,0,40.5,0.8358
C4_s3,C4,3,sensor_degradation,0,1411,40,40,0,0,40,40,0,1,824.7,4491.9,112.3,2.069,1852.7,358.0,1650.0,494.9,136.4,463.2,0,1,99.46,0.6358,1.171,0,99.46,0.636,1.17,8,1,60.0,0,-1,0,0,0,0,0,0.0,0.0
C0_s4,C0,4,none,-1,-1,40,40,0,0,40,40,0,1,348.8,5607.7,140.2,1.89,2400.2,310.8,2093.4,628.0,175.3,600.0,0,3,99.39,0.7018,0.687,0,99.26,0.7033,0.874,0,0,-1,-1,-1,1,0,0,0,0,36.84,0.8416
C1_s4,C1,4,none,-1,-1,39,39,0,0,39,40,1,1,454.7,6671.8,171.1,2.238,2476.8,423.6,2728.8,818.6,224.0,618.8,185,3,99.23,0.7053,0.888,0,99.24,0.7054,0.882,6,6,152.5,-1,-1,0,0,0,0,0,43.72,0.9763
C2_s4,C2,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,488.0,6806.8,179.1,2.305,2303.8,452.4,2928.6,878.6,243.4,575.4,38,3,99.26,0.6702,1.652,0,99.24,0.6729,1.67,6,5,148.0,0,-1,0,0,0,0,0,34.79,0.846
