run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
C3_s1,C3,1,immobilised,1,2200,40,40,0,0,40,40,0,1,410.5,5966.9,149.2,1.826,2207.9,351.2,2464.2,739.1,204.5,550.1,41,3,99.3,0.7063,0.753,0,99.3,0.7063,0.754,7,6,128.3,1,15.0,0,0,0,0,1,37.76,0.9237
C3_s2,C3,2,battery_drain,1,1804,40,40,0,0,40,40,0,1,443.1,6728.2,168.2,1.88,2730.1,316.0,2660.4,797.8,223.9,682.5,0,3,99.18,0.7098,0.933,0,99.23,0.7108,0.863,7,6,132.5,1,54.6,0,0,0,0,0,42.9,0.7523
C3_s3,C3,3,sensor_degradation,1,1411,40,40,0,0,40,40,0,1,336.3,5410.9,135.3,1.913,2290.6,329.6,2019.6,605.5,165.6,572.6,0,3,99.44,0.6965,0.748,0,99.45,0.6898,0.832,8,5,120.0,1,28.9,0,0,0,0,0,40.5,0.8358
C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7261.2,191.1,2.448,2518.6,581.9,3006.0,901.6,253.1,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
C3_s5,C3,5,immobilised,1,568,38,38,0,0,38,40,0,0,497.1,6841.5,180.0,2.048,2376.6,342.0,2984.4,895.0,243.5,594.2,0,3,98.95,0.7106,1.416,0,98.98,0.71,1.399,8,7,132.1,1,18.2,0,0,0,0,0,37.26,0.8483
C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7977.5,204.6,2.449,2782.1,483.6,3407.4,1022.0,282.3,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
C3_s7,C3,7,comms_loss,1,1076,40,40,0,0,40,40,0,1,336.2,5385.1,134.6,1.455,2346.7,285.3,2017.8,605.3,129.9,586.7,0,3,99.42,0.6996,0.578,0,99.07,0.6776,1.342,6,6,75.0,0,-1,0,0,0,0,0,27.07,0.674
C3_s8,C3,8,immobilised,1,609,39,39,0,0,39,40,1,1,521.7,6682.5,171.3,2.635,1897.3,451.1,3132.0,939.2,262.8,473.4,261,3,99.24,0.7024,1.388,0,99.25,0.7033,1.359,5,4,132.5,1,19.1,0,0,0,0,1,42.38,0.9746
C3_s9,C3,9,battery_drain,1,1371,40,40,0,0,40,40,0,1,362.8,5825.2,145.6,1.613,2496.1,312.9,2178.0,653.2,185.0,624.0,0,3,98.99,0.6886,1.464,0,98.9,0.6839,1.472,5,5,136.0,1,2.9,0,0,0,0,1,32.2,0.9093
C3_s10,C3,10,wrong_position,1,574,38,26,12,0,38,40,0,0,950.0,13676.9,359.9,3.81,3767.9,2030.9,5700.6,1710.2,467.3,940.0,41,3,98.94,0.6737,3.237,0,99.07,0.664,3.172,8,5,166.0,1,272.6,1,0,0,0,0,45.57,0.9668
C3_s11,C3,11,comms_loss,1,1008,39,39,0,0,39,40,1,0,714.4,10756.2,275.8,3.213,3566.2,1363.2,4287.6,1286.1,253.2,891.5,0,3,99.02,0.6862,1.699,0,99.23,0.6898,1.149,5,3,85.0,0,-1,0,0,0,0,0,77.61,0.6585
C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7662.6,232.2,2.574,2699.3,476.9,3241.8,972.2,272.5,669.5,109,3,81.17,0.402,25.234,0,98.55,0.6428,3.127,7,5,232.0,1,242.3,0,2,0,169466,0,42.57,0.8731
C3_s13,C3,13,immobilised,1,1287,40,40,0,0,40,40,0,1,524.1,7415.6,185.4,2.294,2711.7,351.0,3146.4,943.6,262.9,677.9,0,3,99.03,0.67,1.701,0,99.08,0.6693,1.665,5,5,202.0,1,16.3,0,0,0,0,1,46.01,1.0
C3_s15,C3,15,comms_loss,1,2228,40,40,0,0,40,40,0,1,370.2,5960.6,149.0,1.72,2557.1,351.7,2223.0,666.5,162.3,639.3,0,3,99.38,0.717,0.757,0,99.25,0.7201,0.719,8,7,128.6,0,-1,0,0,0,0,0,34.82,0.8178
C3_s16,C3,16,immobilised,1,1029,39,39,0,0,39,40,0,0,490.0,6856.0,175.8,1.948,2491.9,297.3,2941.2,882.2,243.5,623.0,0,3,99.13,0.7134,0.827,0,99.14,0.7134,0.825,5,4,37.5,1,22.1,0,0,0,0,0,35.31,0.8636
C3_s17,C3,17,battery_drain,1,2135,34,40,0,6,34,40,0,0,450.9,6624.6,194.8,2.206,2447.1,434.6,2707.2,811.8,224.0,611.8,0,3,87.22,0.4235,19.624,0,99.19,0.6821,1.802,8,7,151.4,1,1.5,1,0,2,98823,0,41.25,0.8718
C3_s18,C3,18,battery_drain,1,925,40,40,0,0,40,40,0,1,458.6,6667.2,166.7,1.986,2842.1,361.0,2507.4,752.1,204.6,710.5,0,2,99.08,0.7124,1.211,0,99.04,0.7137,1.194,5,5,218.0,1,2.5,1,0,0,0,0,35.06,0.8144
C3_s19,C3,19,sensor_degradation,1,1749,40,40,0,0,40,40,0,1,404.0,6315.9,157.9,1.935,2585.0,374.4,2424.6,727.4,204.5,646.3,0,3,99.19,0.6775,1.365,0,99.18,0.6699,1.488,5,5,144.0,1,25.1,0,0,0,0,0,37.43,0.9202
C3_s20,C3,20,comms_loss,1,1347,40,40,0,0,40,40,0,1,495.8,7664.8,191.6,2.102,3164.0,447.7,2975.4,892.6,185.1,791.0,0,3,98.6,0.6536,2.631,0,98.61,0.6694,2.597,8,8,131.2,1,22.8,0,0,0,0,1,59.43,0.8767
C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9678.1,261.6,2.757,2879.9,721.6,4397.4,1319.0,360.1,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,448.9,7027.2,175.7,1.901,2850.8,449.6,2694.6,808.2,224.0,709.5,62,3,98.7,0.6738,3.565,0,98.72,0.6691,3.354,7,5,122.0,0,-1,1,0,0,0,0,32.4,0.8343
C3_s23,C3,23,immobilised,1,653,37,37,0,0,37,40,0,0,491.3,6782.9,183.3,2.199,2412.1,294.4,2948.4,884.5,243.5,603.0,0,3,99.1,0.7045,1.333,0,99.11,0.7037,1.366,5,4,167.5,1,14.7,0,0,0,0,0,39.61,0.9057
C3_s24,C3,24,immobilised,1,1825,40,40,0,0,40,40,0,1,449.1,6543.0,163.6,2.213,2456.4,357.7,2696.4,808.6,224.0,611.9,47,3,98.84,0.6808,2.057,0,98.87,0.6812,2.04,7,7,95.7,1,107.5,0,0,0,0,1,40.56,0.8656
C3_s25,C3,25,battery_drain,1,648,40,40,0,0,40,40,0,1,397.6,5749.6,143.7,1.699,2395.6,312.2,2200.2,659.9,181.8,598.9,0,2,99.01,0.6946,1.429,0,98.97,0.6952,1.487,7,7,77.9,1,5.2,1,0,0,0,0,30.14,0.9048
C3_s26,C3,26,battery_drain,1,1190,40,40,0,0,40,40,0,1,409.2,6306.7,157.7,1.857,2751.1,289.5,2360.4,707.7,198.0,687.8,0,2,99.5,0.6993,0.557,0,99.25,0.702,0.747,6,6,70.0,1,1.0,1,0,0,0,0,44.22,0.7798
C3_s27,C3,27,comms_loss,1,571,39,39,0,0,39,40,0,0,671.1,9702.5,248.8,2.875,3489.7,745.8,4028.4,1208.2,230.4,872.4,0,3,99.03,0.6699,1.73,0,99.17,0.672,1.92,5,4,103.8,0,-1,0,0,0,0,0,80.13,0.763
C3_s28,C3,28,sensor_degradation,1,1881,40,40,0,0,40,40,0,1,308.3,5024.8,125.6,1.728,2130.2,333.3,1850.4,555.1,155.8,532.6,0,3,99.32,0.7116,0.971,0,99.31,0.702,0.999,5,5,52.0,1,31.9,0,0,0,0,0,36.33,0.8533
C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7245.5,185.8,2.183,2645.1,531.2,2943.0,882.7,243.4,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
C3_s2024,C3,2024,sensor_degradation,1,1286,38,38,0,0,38,39,1,1,480.4,7298.1,192.1,2.095,2729.9,576.3,2883.6,864.9,243.4,682.5,0,3,99.09,0.6968,1.254,0,99.15,0.6883,1.361,6,6,165.8,1,116.4,0,0,0,0,0,45.57,0.9381
