run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction,fault2_robot,fault2_step,fault2_type
C3_s1,C3,1,immobilised,1,2200,40,40,0,0,40,40,0,1,416.1,6028.8,150.7,1.919,2219.9,356.8,2498.4,749.2,204.6,553.1,41,3,99.25,0.7058,0.881,0,99.26,0.7059,0.883,7,6,128.3,1,15.0,1,0,0,0,0,35.2,0.9246,2,1945,battery_drain
C3_s2,C3,2,battery_drain,1,1804,40,40,0,0,40,40,0,1,438.1,6786.9,169.7,1.905,2864.9,332.2,2596.8,778.7,214.3,716.2,0,2,99.2,0.6975,1.136,0,99.22,0.7014,1.086,7,6,131.7,1,54.6,1,0,0,0,0,39.31,0.7533,2,2375,sensor_degradation
C3_s3,C3,3,sensor_degradation,1,1411,39,39,0,0,39,40,0,0,561.1,7800.9,200.0,2.774,2705.8,434.8,3367.8,1010.2,282.4,676.4,0,3,99.41,0.6881,0.967,0,99.44,0.6802,1.128,8,4,71.2,1,38.9,1,0,0,0,0,53.96,0.9189,2,802,immobilised
C3_s4,C3,4,wrong_position,1,1064,39,36,3,0,39,40,1,1,860.6,11467.8,294.0,3.627,3703.3,733.1,5164.2,1549.3,317.9,924.9,256,3,99.17,0.6733,1.728,0,99.24,0.676,1.751,6,6,189.2,0,-1,0,0,0,0,0,74.94,0.8333,2,1835,comms_loss
C3_s5,C3,5,immobilised,1,568,37,37,0,0,37,40,0,0,497.1,6003.4,162.3,1.914,2025.8,315.2,2650.2,794.6,217.5,506.4,0,2,99.22,0.7055,1.151,0,99.02,0.7094,1.335,8,7,132.1,1,18.2,1,0,0,0,0,29.09,0.6783,2,928,battery_drain
C3_s6,C3,6,wrong_position,1,1187,40,30,10,0,40,40,0,1,486.6,7561.2,189.0,2.316,2990.5,572.1,2921.4,876.1,201.3,731.9,490,3,99.06,0.6412,3.292,0,99.24,0.6465,3.168,7,3,161.7,1,321.3,1,0,0,0,0,64.32,0.949,2,2233,comms_loss
C3_s7,C3,7,comms_loss,1,1076,40,40,0,0,40,40,0,1,840.8,12089.1,302.2,3.146,4349.8,881.8,5045.4,1513.6,298.5,1084.2,377,3,98.95,0.6963,1.833,0,99.1,0.6332,2.706,6,6,75.0,0,-1,0,0,0,0,0,76.95,0.8748,2,1208,wrong_position
C3_s8,C3,8,immobilised,1,609,39,39,0,0,39,40,1,1,535.0,6838.7,175.4,2.96,1968.1,433.2,3211.2,963.2,262.9,481.0,464,3,99.58,0.6827,1.266,0,99.57,0.6836,1.28,5,4,132.5,1,19.1,1,0,0,0,1,40.3,0.9753,2,573,sensor_degradation
C3_s9,C3,9,battery_drain,1,1371,39,39,0,0,39,40,0,0,502.3,7394.4,189.6,2.119,3012.3,556.7,2765.4,829.4,230.5,753.1,0,2,99.09,0.6947,1.231,0,99.08,0.6837,1.538,5,4,102.5,1,2.9,1,0,0,0,0,39.1,0.7772,2,943,sensor_degradation
C3_s10,C3,10,wrong_position,1,574,40,29,11,0,40,40,0,1,781.4,9549.4,238.7,2.696,3329.3,754.7,3952.2,1185.5,327.8,827.6,183,2,98.99,0.6924,2.769,0,99.06,0.692,2.639,8,6,195.0,1,272.6,2,0,0,0,0,40.47,0.9788,2,1736,battery_drain
