cadence,wall_s,run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
100,183.9,C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7037.2,185.2,2.373,2518.6,581.9,3006.0,901.6,29.0,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
100,125.8,C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7727.6,198.1,2.372,2782.1,483.6,3407.4,1022.0,32.4,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
100,265.5,C3_s10,C3,10,wrong_position,1,574,38,26,12,0,38,40,0,0,950.0,13263.2,349.0,3.695,3767.9,2030.9,5700.6,1710.2,53.6,940.0,41,3,98.94,0.6737,3.237,0,99.07,0.664,3.172,8,5,166.0,1,272.6,1,0,0,0,0,45.57,0.9668
100,185.5,C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7421.4,224.9,2.493,2699.3,476.9,3241.8,972.2,31.3,669.5,109,3,81.17,0.402,25.234,0,98.55,0.6428,3.127,7,5,232.0,1,242.3,0,2,0,169466,0,42.57,0.8731
100,137.1,C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9359.3,253.0,2.666,2879.9,721.6,4397.4,1319.0,41.3,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
100,38.4,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,413.2,6466.5,161.7,1.795,2777.4,441.3,2480.4,743.9,23.5,691.2,62,3,98.74,0.6782,3.476,0,98.78,0.6725,3.324,7,5,122.0,0,-1,1,0,0,0,0,33.65,0.8423
100,120.9,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7030.0,180.3,2.118,2645.1,531.2,2943.0,882.7,27.9,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
50,174.1,C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7037.2,185.2,2.373,2518.6,581.9,3006.0,901.6,29.0,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
50,123.1,C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7727.6,198.1,2.372,2782.1,483.6,3407.4,1022.0,32.4,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
50,188.1,C3_s10,C3,10,wrong_position,1,574,39,27,12,0,39,40,0,0,709.4,10405.8,266.8,2.884,3515.1,1316.4,4257.0,1277.1,40.2,876.8,41,3,99.02,0.6848,3.069,0,99.16,0.672,2.998,8,5,166.0,1,217.6,1,0,0,0,0,48.68,0.9556
50,199.1,C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7332.1,222.2,2.507,2626.5,460.3,3241.8,972.2,31.3,651.3,109,3,82.27,0.4143,23.936,0,98.54,0.6429,3.2,7,5,224.0,1,222.3,0,2,0,165216,0,43.32,0.8731
