byzantine_ratio,run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
1.15,C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7261.2,191.1,2.448,2518.6,581.9,3006.0,901.6,253.1,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
1.15,C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7977.5,204.6,2.449,2782.1,483.6,3407.4,1022.0,282.3,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
1.15,C3_s10,C3,10,wrong_position,1,574,38,26,12,0,38,40,0,0,950.0,13623.0,358.5,3.796,3602.8,2142.1,5700.6,1710.2,467.3,898.3,146,3,98.94,0.6739,3.221,0,99.08,0.6646,3.156,8,5,166.0,1,272.6,2,0,0,0,0,45.58,0.9668
1.15,C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7662.6,232.2,2.574,2699.3,476.9,3241.8,972.2,272.5,669.5,109,3,81.17,0.402,25.234,0,98.55,0.6428,3.127,7,5,232.0,1,242.3,0,2,0,169466,0,42.57,0.8731
1.15,C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9678.1,261.6,2.757,2879.9,721.6,4397.4,1319.0,360.1,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
1.15,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,413.2,6647.6,166.2,1.845,2777.4,441.3,2480.4,743.9,204.6,691.2,62,3,98.74,0.6782,3.476,0,98.78,0.6725,3.324,7,5,122.0,0,-1,1,0,0,0,0,33.65,0.8423
1.15,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7245.5,185.8,2.183,2645.1,531.2,2943.0,882.7,243.4,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
1.15,C1_s1,C1,1,none,-1,-1,40,40,0,0,40,40,0,1,341.1,5426.6,135.7,1.721,2236.2,352.5,2048.4,614.2,175.3,557.2,41,3,99.32,0.7047,0.796,0,99.33,0.7044,0.787,7,6,125.8,-1,-1,0,0,0,0,0,39.63,0.9082
1.15,C1_s2,C1,2,none,-1,-1,40,40,0,0,40,40,0,1,423.1,6410.5,160.3,1.792,2580.7,314.0,2539.8,761.8,214.2,645.2,0,3,99.13,0.7184,0.849,0,99.14,0.7187,0.839,7,6,130.8,-1,-1,0,0,0,0,0,33.2,0.7485
1.15,C1_s3,C1,3,none,-1,-1,40,40,0,0,40,40,0,1,336.3,5390.5,134.8,1.822,2289.1,310.7,2019.6,605.5,165.6,572.3,0,3,99.28,0.701,0.947,0,99.27,0.7015,0.933,8,5,119.0,-1,-1,0,0,0,0,0,39.03,0.8284
1.15,C1_s4,C1,4,none,-1,-1,39,39,0,0,39,40,1,1,454.7,6671.8,171.1,2.238,2476.8,423.6,2728.8,818.6,224.0,618.8,185,3,99.23,0.7053,0.888,0,99.24,0.7054,0.882,6,6,152.5,-1,-1,0,0,0,0,0,43.72,0.9763
1.15,C1_s5,C1,5,none,-1,-1,36,36,0,0,36,40,0,0,410.2,6392.2,177.6,2.013,2554.3,432.4,2462.4,738.5,204.5,577.6,1465,3,99.29,0.7105,0.974,0,99.16,0.7145,0.965,8,7,117.9,-1,-1,0,0,0,0,0,31.74,0.7711
1.15,C1_s6,C1,6,none,-1,-1,40,40,0,0,40,40,0,1,426.4,6409.5,160.2,1.985,2493.2,374.8,2559.6,767.7,214.2,614.0,226,3,99.09,0.6852,1.254,0,99.1,0.6858,1.235,7,4,161.2,-1,-1,0,0,0,0,0,52.25,0.9147
1.15,C1_s7,C1,7,none,-1,-1,40,40,0,0,40,40,0,1,336.2,5420.2,135.5,1.465,2346.9,284.6,2017.8,605.3,165.6,586.7,0,3,99.41,0.7007,0.596,0,99.07,0.6776,1.342,6,6,75.0,-1,-1,0,0,0,0,0,27.07,0.674
1.15,C1_s8,C1,8,none,-1,-1,39,39,0,0,39,40,1,1,390.6,5763.2,147.8,2.177,2018.2,501.5,2345.4,703.3,194.8,504.2,250,3,99.29,0.711,1.013,0,99.3,0.7114,1.004,5,5,124.0,-1,-1,0,0,0,0,0,36.41,0.8544
2.0,C3_s4,C3,4,wrong_position,1,1064,38,32,6,0,38,40,1,0,500.8,7261.2,191.1,2.448,2518.6,581.9,3006.0,901.6,253.1,627.3,348,3,99.24,0.6775,1.652,0,99.26,0.6753,1.643,6,5,148.0,0,-1,0,0,0,0,0,40.57,0.9604
2.0,C3_s6,C3,6,wrong_position,1,1187,39,31,8,0,39,40,0,0,567.7,7977.5,204.6,2.449,2782.1,483.6,3407.4,1022.0,282.3,664.2,739,3,99.07,0.6725,3.024,0,99.11,0.6738,2.991,7,3,161.7,0,-1,0,0,0,0,0,54.79,0.936
2.0,C3_s10,C3,10,wrong_position,1,574,40,29,11,0,40,40,0,1,584.3,8873.5,221.8,2.499,3367.8,655.3,3506.4,1051.9,292.1,839.2,142,3,98.93,0.6695,2.9,0,99.02,0.6684,2.836,8,6,195.0,0,-1,0,0,0,0,0,40.61,0.9305
2.0,C3_s12,C3,12,wrong_position,1,577,33,29,6,7,33,40,0,0,540.0,7662.6,232.2,2.574,2699.3,476.9,3241.8,972.2,272.5,669.5,109,3,81.17,0.402,25.234,0,98.55,0.6428,3.127,7,5,232.0,1,242.3,0,2,0,169466,0,42.57,0.8731
2.0,C3_s21,C3,21,wrong_position,1,2393,37,27,10,0,37,40,1,0,732.7,9678.1,261.6,2.757,2879.9,721.6,4397.4,1319.0,360.1,701.2,987,3,99.09,0.6928,2.731,0,99.16,0.6806,2.731,8,8,97.5,0,-1,1,0,0,0,0,37.74,0.9062
2.0,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,413.2,6647.6,166.2,1.845,2777.4,441.3,2480.4,743.9,204.6,691.2,62,3,98.74,0.6782,3.476,0,98.78,0.6725,3.324,7,5,122.0,0,-1,1,0,0,0,0,33.65,0.8423
2.0,C3_s42,C3,42,wrong_position,1,1023,39,32,7,0,39,40,0,0,490.3,7245.5,185.8,2.183,2645.1,531.2,2943.0,882.7,243.4,661.3,0,3,99.01,0.6578,3.095,0,99.05,0.6577,3.035,5,2,25.0,0,-1,0,0,0,0,0,36.97,0.8636
