displacement_m,run_id,condition,seed,fault_type,fault_robot,fault_step,points_believed_visited,points_truly_visited,points_falsely_reported,points_invalidated,points_visited,points_total,points_unreachable,mission_success,duration_s,total_energy_j,energy_per_point_j,energy_per_m2_j,energy_drive_j,energy_turn_j,energy_sense_j,energy_compute_j,energy_comms_j,distance_total_m,collisions,robots_alive_at_end,coverage_pct,surface_f1,observed_error_pct,map_reporter,union_coverage_pct,union_surface_f1,union_observed_error_pct,deviations_injected,deviations_detected,mean_detection_time_s,fault_detected,detection_latency_s,false_positives,quarantines_correct,quarantines_wrong,cells_restored,points_reallocated,duplicated_coverage_pct,contact_fraction
2.0,C3_s4,C3,4,wrong_position,1,1064,40,34,6,0,40,40,1,1,351.6,5671.5,141.8,1.924,2425.3,326.4,2111.4,633.1,175.3,606.3,0,3,99.32,0.6749,1.848,0,99.24,0.6757,1.953,6,4,126.2,0,-1,0,0,0,0,0,37.14,0.9601
2.0,C3_s6,C3,6,wrong_position,1,1187,40,34,6,0,40,40,0,1,422.2,6451.8,161.3,1.993,2511.9,431.1,2534.4,760.1,214.2,617.1,310,3,99.13,0.6712,2.234,0,99.16,0.6699,2.207,7,3,161.7,0,-1,0,0,0,0,0,53.22,0.9392
2.0,C3_s10,C3,10,wrong_position,1,574,39,31,8,0,39,40,0,0,538.2,7480.6,191.8,2.145,2635.6,382.2,3231.0,968.9,262.9,658.9,0,3,99.03,0.6648,2.313,0,99.07,0.6631,2.314,8,6,197.5,0,-1,0,0,0,0,0,41.94,1.0
2.0,C3_s12,C3,12,wrong_position,1,577,38,33,5,0,38,40,0,0,520.0,7538.0,198.4,2.466,2722.8,495.0,3121.2,936.2,262.8,677.6,83,3,98.73,0.6707,2.444,0,98.75,0.6706,2.432,7,5,216.0,0,-1,0,0,0,0,0,49.05,0.9016
2.0,C3_s21,C3,21,wrong_position,1,2393,38,29,9,0,38,40,1,0,615.3,8344.7,219.6,2.554,2678.2,563.3,3693.6,1107.7,301.8,652.5,642,3,99.09,0.6741,2.426,0,99.17,0.6723,2.371,8,8,97.5,0,-1,1,0,0,0,0,39.13,0.879
2.0,C3_s22,C3,22,wrong_position,1,1052,40,30,10,0,40,40,0,1,424.0,6741.6,168.5,1.875,2796.0,422.8,2545.2,763.4,214.2,698.3,56,3,98.82,0.6867,2.928,0,98.83,0.6816,2.952,7,6,130.0,0,-1,0,0,0,0,0,34.81,0.848
2.0,C3_s42,C3,42,wrong_position,1,1023,38,37,1,0,38,40,0,0,728.2,10099.1,265.8,3.049,2987.0,1070.6,4370.4,1310.9,360.2,740.7,658,3,99.01,0.659,2.275,0,99.06,0.6546,2.25,5,3,63.3,0,-1,0,0,0,0,0,43.59,0.9932
4.0,C3_s4,C3,4,wrong_position,1,1064,39,32,7,0,39,40,1,1,446.7,6605.5,169.4,2.257,2441.4,454.0,2682.0,804.2,223.9,610.3,0,3,99.21,0.6751,1.64,0,99.23,0.6716,1.657,6,4,135.0,0,-1,0,0,0,0,0,40.78,0.9611
4.0,C3_s6,C3,6,wrong_position,1,1187,40,32,8,0,40,40,0,1,423.3,6460.9,161.5,1.991,2525.2,417.8,2541.6,762.1,214.2,623.2,206,3,99.15,0.6781,2.817,0,99.18,0.6784,2.784,7,3,161.7,0,-1,0,0,0,0,0,55.94,0.9357
4.0,C3_s10,C3,10,wrong_position,1,574,28,28,0,13,28,40,0,0,745.2,9842.6,351.5,2.864,3026.1,632.2,4473.0,1341.5,369.8,747.6,180,3,78.96,0.386,23.143,0,99.2,0.6812,2.573,8,7,271.4,1,452.6,0,2,0,209341,0,36.92,0.9422
